Cueanexo,Nombre,id_departamento,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20042200,INSTITUTO FEDERICO GUILLERMO FRÖEBEL,2000,1.0,1.0,1.0,1.0
20042300,CENS Nº 58 DE 01,2000,,,,
20042400,IFTS Nº 17 DE 01,2000,,,,
20042500,INSTITUTO ISABEL CONDE DE HERNANDEZ,2000,,1.0,1.0,
20042600,JIC N° 03 DE 19,2000,,1.0,,
20042700,JII N° 02 JUAN M. COGHLAN DE 15,2000,,1.0,,
20042800,CENTRO EDUCATIVO BUENOS AIRES,2000,1.0,1.0,1.0,1.0
20043100,CENS Nº 03 PROF. MA.MARGARITA SALESI DE 01,2000,,,,
20043300,GASPAR LUCILO BENAVENTO,2000,,,1.0,
20043600,CABILDO DE BS AS,2000,,,,
