Provincia,Departamento,Cant_EE,Cant_BP,Poblacion
Buenos Aires,ADOLFO GONZALES CHAVES,37,2,35970
Jujuy,TUMBAYA,37,2,14795
Buenos Aires,GENERAL LA MADRID,37,1,32362
Buenos Aires,GENERAL BELGRANO,37,0,57857
Corrientes,MBURUCUYA,37,0,32076
Salta,CACHI,37,0,24665
Neuquén,PEHUENCHES,36,2,81828
Catamarca,AMBATO,36,1,14421
La Pampa,UTRACAN,35,5,49306
Buenos Aires,VILLA GESELL,35,2,103907
Río Negro,25 DE MAYO,35,2,46181
San Juan,IGLESIA,35,2,24486
La Rioja,ARAUCO,35,1,45245
La Pampa,REALICO,34,8,48472
Buenos Aires,BENITO JUAREZ,34,1,59263
Salta,MOLINOS,34,1,15881
San Juan,ALBARDON,34,1,86047
Buenos Aires,LEANDRO N. ALEM,33,3,47921
Neuquén,MINAS,33,3,25909
Chaco,GENERAL DONOVAN,33,2,41876
Buenos Aires,SUIPACHA,33,1,32623
La Rioja,FAMATINA,33,1,19484
Santiago del Estero,SARMIENTO,33,0,13756
Buenos Aires,GENERAL ARENALES,32,2,45754
Buenos Aires,LAPRIDA,32,1,31970
Corrientes,ITATI,32,1,33183
San Juan,ANGACO,32,0,27972
La Pampa,CONHELO,31,5,42488
Neuquén,CHOS MALAL,31,4,51004
Buenos Aires,ALBERTI,31,2,36142
Buenos Aires,PINAMAR,31,2,109174
Buenos Aires,PUNTA INDIO,31,1,34052
Chaco,PRESIDENCIA DE LA PLAZA,31,1,38451
Santiago del Estero,RIVADAVIA,31,1,14754
Neuquén,ALUMINE,30,3,28290
Buenos Aires,GENERAL PINTO,29,4,36030
San Juan,SAN MARTIN,29,3,41228
Buenos Aires,CAPITAN SARMIENTO,29,1,44492
Santiago del Estero,AGUIRRE,29,0,24872
Catamarca,PACLIN,28,2,13126
Jujuy,SUSQUES,28,2,10811
Buenos Aires,CASTELLI,28,1,26736
Chaco,2 DE ABRIL,28,1,23267
Chaco,1§ DE MAYO,28,0,39723
La Pampa,RANCUL,27,6,30825
La Pampa,CHAPALEUFU,27,5,34342
Catamarca,FRAY MAMERTO ESQUIU,27,4,40824
Chubut,GAIMAN,27,3,34875
Río Negro,PILCANIYEU,27,2,25999
Buenos Aires,MAIPU,27,1,31530
Córdoba,SOBREMONTE,27,0,12201
Jujuy,RINCONADA,27,0,4912
Mendoza,LA PAZ,27,0,33447
Neuquén,ÑORQUIN,26,2,15548
Salta,CAFAYATE,26,1,49201
Buenos Aires,PILA,26,0,12812
Corrientes,GENERAL ALVEAR,25,1,25131
Buenos Aires,FLORENTINO AMEGHINO,25,0,29895
Chaco,LIBERTAD,25,0,38286
Río Negro,EL CUY,24,2,19304
Salta,LA CALDERA,24,2,34232
Chubut,RIO SENGUER,24,1,17778
Neuquén,CATAN LIL,24,1,7297
Río Negro,PICHI MAHUIDA,24,1,46097
Santa Cruz,LAGO ARGENTINO,24,1,70244
Santiago del Estero,BELGRANO,24,1,30060
La Rioja,INDEPENDENCIA,24,0,6649
Buenos Aires,GENERAL GUIDO,23,1,8829
Neuquén,AÑELO,22,1,50089
Neuquén,LOS LAGOS,22,1,43179
La Pampa,ATREUCO,21,5,31011
Buenos Aires,SAN CAYETANO,21,2,25142
Buenos Aires,HIPOLITO YRIGOYEN,21,1,29668
Chaco,GENERAL BELGRANO,21,1,35253
Chubut,SARMIENTO,21,1,39926
Neuquén,PICUNCHES,21,1,23523
Salta,LOS ANDES,21,1,19493
Jujuy,VALLE GRANDE,21,0,6865
La Pampa,LOVENTUE,20,3,25878
Neuquén,LONCOPUE,20,1,21432
Buenos Aires,LEZAMA,20,0,17301
La Pampa,PUELEN,20,0,32154
Salta,GUACHIPAS,20,0,9738
La Pampa,GUATRACHE,19,5,26470
Río Negro,9 DE JULIO,19,0,10317
Buenos Aires,GENERAL LAVALLE,18,1,13409
Buenos Aires,TRES LOMAS,18,1,25450
La Pampa,TOAY,18,1,49572
Río Negro,CONESA,18,1,20724
Santiago del Estero,MITRE,18,0,4017
La Pampa,QUEMU QUEMU,17,4,23580
La Rioja,CASTRO BARROS,17,4,16293
Salta,LA CANDELARIA,17,2,19887
Buenos Aires,PELLEGRINI,17,1,19895
La Rioja,SAN BLAS DE LOS SAUCES,17,1,11995
Río Negro,VALCHETA,17,1,12076
Salta,LA POMA,17,1,4873
Chaco,TAPENAGA,17,0,11206
Santa Cruz,CORPEN AIKE,17,0,41659
Río Negro,ÑORQUINCO,16,2,4088
